USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.1 225732  8892 ?        Ss   8月22   0:20 /sbin/init splash
root        348  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_28]
root        349  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_28]
root        350  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_29]
root        351  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_29]
root        352  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_30]
root        353  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_30]
root        354  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_31]
root        355  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_31]
root        384  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_32]
root        385  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_32]
root        397  0.0  0.0      0     0 ?        I<   8月22   0:01 [kworker/5:1H-kb]
root        399  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/0:1H-kb]
root        401  0.0  0.0      0     0 ?        I<   8月22   0:01 [kworker/3:1H-kb]
root        429  0.0  0.0      0     0 ?        I<   8月22   0:01 [kworker/11:1H-k]
root        430  0.0  0.0      0     0 ?        S    8月22   0:24 [jbd2/sda1-8]
root        431  0.0  0.0      0     0 ?        I<   8月22   0:00 [ext4-rsv-conver]
root        433  0.0  0.0      0     0 ?        I<   8月22   0:01 [kworker/9:1H-kb]
root        442  0.0  0.0      0     0 ?        I<   8月22   0:02 [kworker/6:1H-kb]
root        446  0.0  0.0      0     0 ?        I<   8月22   0:01 [kworker/10:1H-k]
root        449  0.0  0.0      0     0 ?        I<   8月22   0:01 [kworker/4:1H-kb]
root        452  0.0  0.0      0     0 ?        I<   8月22   0:02 [kworker/2:1H-kb]
root        457  0.0  0.0      0     0 ?        I<   8月22   0:01 [kworker/7:1H-kb]
root        467  0.0  0.0      0     0 ?        I<   8月22   0:02 [kworker/8:1H-kb]
root        472  0.0  0.7 159916 61392 ?        S<s  8月22   0:07 /lib/systemd/systemd-journald
root        475  0.0  0.0      0     0 ?        I<   8月22   0:03 [kworker/1:1H-kb]
root        504  0.0  0.0  46508  4668 ?        Ss   8月22   0:00 /lib/systemd/systemd-udevd
root        508  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop0]
root        603  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop1]
root        630  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop2]
root        647  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop3]
root        660  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop4]
root        674  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop5]
root        676  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop6]
root        680  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop7]
root        763  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop8]
root        768  0.0  0.0      0     0 ?        S    8月22   0:31 [irq/16-vmwgfx]
root        770  0.0  0.0      0     0 ?        I<   8月22   0:00 [ttm_swap]
root        775  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop9]
root        820  0.0  0.0      0     0 ?        I<   8月22   0:00 [cryptd]
systemd+    886  0.0  0.0  70624  5920 ?        Ss   8月22   0:03 /lib/systemd/systemd-resolved
systemd+    907  0.0  0.0 145964  3112 ?        Ssl  8月22   0:00 /lib/systemd/systemd-timesyncd
root        942  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop11]
root        948  0.0  0.0  33072  3188 ?        Ss   8月22   0:00 /usr/sbin/cron -f
root        955  0.0  0.0 110536  3444 ?        Ssl  8月22   0:13 /usr/sbin/irqbalance --foreground
message+    959  0.0  0.0  51824  6140 ?        Rs   8月22   0:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        981  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop12]
root       1013  0.0  0.0 289388  6820 ?        Ssl  8月22   0:05 /usr/lib/accountsservice/accounts-daemon
root       1014  0.0  0.0  45236  3832 ?        Ss   8月22   0:01 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       1016  0.0  0.1 560584 14932 ?        Ssl  8月22   0:10 /usr/sbin/NetworkManager --no-daemon
root       1018  0.0  0.0 434332  6628 ?        Ssl  8月22   0:00 /usr/sbin/ModemManager --filter-policy=strict
root       1020  0.0  0.2 172280 17284 ?        Ssl  8月22   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root       1029  0.0  0.0   4556   812 ?        Ss   8月22   0:02 /usr/sbin/acpid
avahi      1046  0.0  0.0  47264  3144 ?        Ss   8月22   0:02 avahi-daemon: running [vm-wh.local]
syslog     1049  0.0  0.0 263040  4544 ?        Ssl  8月22   0:02 /usr/sbin/rsyslogd -n
root       1064  0.0  0.0  70580  5840 ?        Ss   8月22   0:02 /lib/systemd/systemd-logind
avahi      1066  0.0  0.0  47080   340 ?        S    8月22   0:00 avahi-daemon: chroot helper
root       1067  0.0  0.1 503596 10028 ?        Ssl  8月22   0:00 /usr/lib/udisks2/udisksd
root       1068  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop13]
root       1085  0.0  0.1 298220 10332 ?        Ssl  8月22   0:01 /usr/lib/policykit-1/polkitd --no-debug
root       1089  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop14]
root       1105  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop15]
root       1122  0.0  0.2 188992 19732 ?        Ssl  8月22   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root       1144  0.0  0.0 302832  7476 ?        Ssl  8月22   0:00 /usr/sbin/gdm3
root       1154  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop16]
root       1167  0.0  0.0 256196  7876 ?        Sl   8月22   0:00 gdm-session-worker [pam/gdm-launch-environment]
root       1182  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop17]
root       1198  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop18]
gdm        1213  0.0  0.0  76896  7752 ?        Ss   8月22   0:00 /lib/systemd/systemd --user
gdm        1217  0.0  0.0 114064  2148 ?        S    8月22   0:00 (sd-pam)
root       1258  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop19]
gdm        1305  0.0  0.0 192440  5340 tty1     Ssl+ 8月22   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm        1307  0.0  0.0  50308  4444 ?        Ss   8月22   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       1308  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop20]
gdm        1312  0.0  0.1 553456 13520 tty1     Sl+  8月22   0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
root       1315  0.0  0.0      0     0 ?        S<   8月22   0:00 [loop21]
gdm        1332  0.0  1.7 4053416 139728 tty1   Sl+  8月22   1:25 /usr/bin/gnome-shell
root       1347  0.0  0.1 459728 13860 ?        Sl   8月22   1:33 /usr/bin/python /usr/bin/sand-daemon -c /etc/opensand/daemon.conf -p /var/run/sand-daemon/pid -q -v
root       1367  0.0  0.1 316980  8204 ?        Ssl  8月22   0:00 /usr/lib/upower/upowerd
root       1383  0.0  0.0 278536   728 ?        Ssl  8月22   0:01 /usr/bin/vmhgfs-fuse -o subtype=vmhgfs-fuse,allow_other /mnt/hgfs
root       1409  0.0  0.0 266996   604 ?        Ssl  8月22   0:00 /usr/sbin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
root       1430  0.0  0.0 189152  7532 ?        Sl   8月22   4:18 /usr/sbin/vmtoolsd
root       1458  0.0  0.0  67372  6040 ?        S    8月22   0:00 /usr/lib/vmware-vgauth/VGAuthService -s
gdm        1480  0.0  0.6 2038912 48828 tty1    Sl+  8月22   0:01 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
kernoops   1596  0.0  0.0  56944   424 ?        Ss   8月22   0:05 /usr/sbin/kerneloops --test
whoopsie   1597  0.0  0.1 464344 12640 ?        Ssl  8月22   0:00 /usr/bin/whoopsie -f
chronog+   1599  0.0  0.1 1500752 15460 ?       Ssl  8月22   0:48 /usr/bin/chronograf
gdm        1608  0.0  0.0 349416  6296 ?        Ssl  8月22   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
influxdb   1610  0.1  1.0 2684156 85752 ?       Ssl  8月22   9:10 /usr/bin/influxd -config /etc/influxdb/influxdb.conf
gdm        1619  0.0  0.0  49932  3696 ?        S    8月22   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
kernoops   1621  0.0  0.0  56944   424 ?        Ss   8月22   0:05 /usr/sbin/kerneloops
gdm        1625  0.0  0.0 220768  5756 ?        Sl   8月22   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm        1693  0.0  0.1 1319124 14368 ?       Ssl  8月22   0:00 /usr/bin/pulseaudio --daemonize=no
rtkit      1705  0.0  0.0 183512  2840 ?        SNsl 8月22   0:06 /usr/lib/rtkit/rtkit-daemon
gdm        1805  0.0  0.0 356104  7504 tty1     Sl   8月22   0:00 ibus-daemon --xim --panel disable
gdm        1808  0.0  0.0 275384  6396 tty1     Sl   8月22   0:00 /usr/lib/ibus/ibus-dconf
gdm        1810  0.0  0.5 507656 48000 tty1     Sl   8月22   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm        1814  0.0  0.0 273200  5808 ?        Sl   8月22   0:00 /usr/lib/ibus/ibus-portal
gdm        1822  0.0  0.0 266204  4876 ?        Ssl  8月22   0:00 /usr/libexec/xdg-permission-store
root       1834  0.0  0.0 291516  6500 ?        Ssl  8月22   0:00 /usr/lib/x86_64-linux-gnu/boltd
root       1845  0.0  0.5 442816 46908 ?        Ssl  8月22   0:30 /usr/lib/packagekit/packagekitd
gdm        1849  0.0  0.5 658216 48384 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm        1855  0.0  0.0 272800  5752 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm        1857  0.0  0.5 507224 47452 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm        1862  0.0  0.6 822652 49516 tty1     Sl+  8月22   2:18 /usr/lib/gnome-settings-daemon/gsd-color
gdm        1864  0.0  0.1 388360 13252 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm        1866  0.0  0.0 278384  5092 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm        1868  0.0  0.5 670148 48564 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1879  0.0  0.6 1245428 50524 tty1    Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1880  0.0  0.0 196640  4448 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        1882  0.0  0.6 680692 49088 tty1     Sl+  8月22   0:01 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1885  0.0  0.1 261664  8652 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        1888  0.0  0.0 196660  4404 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        1889  0.0  0.0 270376  4876 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        1891  0.0  0.1 299768  8220 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1897  0.0  0.1 372720  8616 tty1     Sl+  8月22   0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
